"日付","時間","銘柄名","銘柄コード","市場","口座区分","預り区分","現在値","平均取得単価","保有数","うち貸株数","発注数","時価評価額","評価損益"
"2026/06/12","08:55:54","ホットランドホールディングス","3196","東証","特定","普通預り","1617","1552.00","100","","0","161700","6500"
"2026/06/12","08:55:54","三菱ＵＦＪフィナンシャル・グループ","8306","東証","特定","普通預り","3141","401.00","100","","0","314100","274000"
